OTU_ID	run1-Lj105-rep1	run1-Lj105-rep2	run1-Lj105-rep3	run2-Lj105-rep1	run2-Lj105-rep2	run2-Lj105-rep3	run3-Lj105-rep1	run3-Lj105-rep2	run3-Lj105-rep3	run2-nbh94	run2-nbh96	taxonomy
SH174569.07FU_FR773252_reps	704	734	759	747	722	766	730	737	817	0	2	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella humilis
SH186618.07FU_FJ427049_refs	684	670	635	0	0	0	0	0	0	1	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Cryptococcus;s__Cryptococcus terricola
SH190017.07FU_AF444350_refs	639	648	657	672	625	617	685	618	647	0	0	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella sp
SH204309.07FU_HM036615_reps	605	518	553	600	506	550	570	538	527	173	99	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella sp
SH190496.07FU_JQ890272_reps	575	568	628	624	591	594	641	556	561	0	0	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella pseudozygospora
SH215226.07FU_EU754954_reps	536	545	550	532	551	568	545	599	567	0	0	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella sp
SH279517.07FU_AF033490_refs	424	431	407	409	419	381	413	404	401	384	154	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Cryptococcus;s__Cryptococcus podzolicus
SH180461.07FU_HQ709322_refs	349	328	343	338	294	298	285	335	300	0	0	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella horticola
SH198656.07FU_DQ420826_reps	343	281	293	70	89	84	329	333	322	0	2	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Myxotrichaceae;g__Pseudogymnoascus;s__Pseudogymnoascus roseus
SH198113.07FU_KF646108_reps	275	284	243	264	276	253	273	281	223	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae sedis;g__Ilyonectria;s__Ilyonectria mors-panacis
SH195345.07FU_KF981440_refs	203	178	212	215	187	230	233	229	229	0	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Geomyces;s__Geomyces auratus
SH202967.07FU_JF735288_refs	202	184	198	194	184	219	187	183	188	0	0	k__Fungi;p__Zygomycota;c__Incertae sedis;o__Mucorales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis sp
